smiles,pIC50
CC(C)(C(=O)O)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1,9.92
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCC(N4CC5(CCC5)C4)C[C@@H]3C#N)cc2C(N)=O)cc1,9.6
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCC(N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,9.35
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,9.0
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CC[C@@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,9.52
CC(C)(C)C(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,6.86
CC(C)(C)C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.89
CC(C)(C)CC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,9.22
CC(C)(C)CC(=O)N1CCC(Nc2c(-c3cn[nH]c3)cnc3[nH]ccc23)CC1,5.39
CC(C)(C)CC(C)(C)NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,6.73
CC(C)(C)CCOC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,8.1
CC(C)(C)CNc1c(C(N)=O)cnn2cc(-c3ccccc3)cc12,7.48
CC(C)(C)COC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,7.74
CC(C)(C)COC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,8.22
CC(C)(C)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,8.22
CC(C)(C)COC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.95
CC(C)(C)COC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.2
CC(C)(C)CS(=O)(=O)N1CCC[C@H](NC(=O)Nc2cnc3[nH]ccc3n2)C1,7.82
CC(C)(C)NC(=O)[C@@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@H](C#N)C1,7.33
CC(C)(C)NC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,5.05
CC(C)(C)NC(=O)c1cncc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)c1,7.22
CC(C)(C)NC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.92
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCCN4CCOCC4)c3s2)cc1,5.79
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCCCC4)c3s2)cc1,6.18
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCOCC4)c3s2)cc1,6.75
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCO)c3s2)cc1,7.11
CC(C)(C)NS(=O)(=O)c1cccc(Nc2nc(Nc3ccc(C(=O)Nc4ccccc4N)cc3)ncc2Cl)c1,7.51
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,5.36
CC(C)(C)N[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc([C@H](O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.4
CC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1,9.7
CC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)[C@@H](C#N)C1,9.1
CC(C)(C)N[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,9.0
CC(C)(C)OC(=O)C1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,8.52
CC(C)(C)OC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1,7.64
CC(C)(C)OC(=O)C1CC[C@@H](C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,6.59
CC(C)(C)OC(=O)C1CC[C@H](C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,8.15
CC(C)(C)OC(=O)N1CC(CC#N)(NC[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,6.72
CC(C)(C)OC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C(=O)N4CCS(=O)(=O)CC4)cc3)n2)C1,8.7
CC(C)(C)OC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(C)(=O)=O)cc3)n2)C1,9.22
CC(C)(C)OC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,8.1
